Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],79,38,51,89.90179493550293,35.62239999882877,1849.6584999957122,0.0,0.132829014867311,0.06389243753111162,51,57,63,66,120,160,390,1800,1800,1800,1800
POST,Chat [Indirect],162,64,51,98.55260555510249,36.04860001360066,2224.6147000114433,0.0,0.272383549474739,0.10760831584187219,51,56,64,76,130,210,390,1300,2200,2200,2200
POST,Create Ticket,150,0,52,78.46340800034038,40.19600001629442,1327.2526999935508,146.0,0.252206990254388,0.0,52,55,58,59,73,170,570,610,1300,1300,1300
GET,Verify Auth,150,0,130,178.5302940007144,98.45079999649897,1537.5217999971937,198.0,0.252206990254388,0.0,130,140,150,160,180,350,1500,1500,1500,1500,1500
,Aggregated,541,102,57,113.89430536042431,35.62239999882877,2224.6147000114433,95.37892791127541,0.909626544850826,0.17150075337298382,57,110,120,130,160,220,610,1300,2200,2200,2200
