Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],30,0,25,33.997953330981545,16.49330000509508,125.18909999926109,0.0,0.05026959055240411,0.0,26,29,31,34,82,120,130,130,130,130,130
POST,Chat [Indirect],62,0,27,32.26833225879442,16.189400004805066,188.89590000617318,0.0,0.10389048714163517,0.0,27,31,33,33,39,61,130,190,190,190,190
POST,Create Ticket,15,0,26,31.65440666974367,18.760600010864437,112.69880000327248,146.0,0.025134795276202056,0.0,26,29,31,34,34,110,110,110,110,110,110
GET,Verify Auth,15,0,63,76.63949999744848,46.13819999212865,146.995799994329,198.0,0.025134795276202056,0.0,63,65,110,130,140,150,150,150,150,150,150
,Aggregated,122,0,29,38.07363770477527,16.189400004805066,188.89590000617318,42.295081967213115,0.20442966824644337,0.0,29,33,35,40,65,120,140,150,190,190,190
