Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],281,249,39,49.07198398650766,13.631100009661168,794.0699000027962,0.0,0.23436860546530527,0.2076789422094698,39,48,54,60,82,94,160,460,790,790,790
POST,Chat [Indirect],653,592,38,48.90472496174965,13.326700005563907,2186.229300001287,0.0,0.5446359408143927,0.4937587702329563,38,44,53,59,76,96,130,300,2200,2200,2200
POST,Create Ticket,300,0,21,147.07890966679165,16.057200002251193,36484.04890000529,146.0,0.2502155930234576,0.0,21,23,24,25,28,43,92,250,36000,36000,36000
GET,Verify Auth,300,0,47,63.630609333195025,30.632099995273165,491.5640999970492,198.0,0.2502155930234576,0.0,47,59,67,72,92,160,210,390,490,490,490
,Aggregated,1534,841,37,71.01490782283388,13.326700005563907,36484.04890000529,67.27509778357236,1.279435732326613,0.7014377124424261,37,45,52,59,76,96,160,310,2200,36000,36000
