Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],63,15,54,175.3026761885156,37.09820000221953,4717.464499990456,0.0,0.10639312708162657,0.025331696924196803,54,59,79,89,210,370,1500,4700,4700,4700,4700
POST,Chat [Indirect],141,26,52,99.91828794240232,36.34190000593662,1939.5086000149604,0.0,0.23811795108744993,0.04390827466860779,52,59,68,73,150,290,570,1400,1900,1900,1900
POST,Create Ticket,100,0,54,175.07620899821632,40.90809999615885,5919.4771999900695,146.0,0.16887797949464536,0.0,54,57,60,65,110,490,3100,5900,5900,5900,5900
GET,Verify Auth,100,0,140,403.99606099992525,98.69990000152029,6812.820599996485,198.0,0.16887797949464536,0.0,140,150,170,190,550,2200,5100,6800,6800,6800,6800
,Aggregated,404,41,58,205.54399554348853,36.34190000593662,6812.820599996485,85.14851485148515,0.6822670371583672,0.0692399715928046,59,100,130,140,210,490,2000,4200,6800,6800,6800
