Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],81,42,51,138.49936789986793,37.05470002023503,5582.525400008308,0.0,0.13543549386882026,0.07022581163568457,51,55,61,69,120,230,370,5600,5600,5600,5600
POST,Chat [Indirect],188,108,48,108.54756223419285,30.89280001586303,5481.178799993359,0.0,0.3143441092263976,0.18058065849176033,48,51,56,63,160,320,570,790,5500,5500,5500
POST,Create Ticket,200,0,53,156.5680544982024,38.81190001266077,5638.413099979516,146.0,0.3344086268365932,0.0,53,56,60,70,240,300,720,5500,5600,5600,5600
GET,Verify Auth,200,0,120,2175.694116000086,92.68420000444166,27181.15140000009,198.0,0.3344086268365932,0.0,120,130,160,170,7500,20000,26000,27000,27000,27000,27000
,Aggregated,669,150,56,744.5109485793351,30.89280001586303,27181.15140000009,102.84005979073244,1.1185968567684044,0.2508064701274449,56,110,120,130,260,790,17000,24000,27000,27000,27000
