Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],32,0,19,21.70712499992078,14.194700022926554,51.0667999915313,0.0,0.05425533484008605,0.0,19,23,26,26,29,34,51,51,51,51,51
POST,Chat [Indirect],60,0,21,61.3467883313812,13.83959999657236,1381.1084000044502,0.0,0.10172875282516135,0.0,21,22,25,27,62,410,410,1400,1400,1400,1400
POST,Create Ticket,20,0,21,24.212430001352914,17.940099991392344,51.511800003936514,146.0,0.033909584275053785,0.0,22,22,23,23,51,52,52,52,52,52,52
GET,Verify Auth,20,0,62,67.73775999899954,35.04919999977574,194.6761000144761,198.0,0.033909584275053785,0.0,63,73,78,85,98,190,190,190,190,190,190
,Aggregated,132,0,22,47.07908409005596,13.83959999657236,1381.1084000044502,52.121212121212125,0.22380325621535496,0.0,22,26,34,41,70,90,410,410,1400,1400,1400
