Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],34,7,52,66.80933823158472,36.59440000774339,239.35280001023784,0.0,0.05700885632691071,0.011737117479069852,53,61,66,71,94,190,240,240,240,240,240
POST,Chat [Indirect],84,12,53,58.66580119029442,35.80430001602508,188.01260000327602,0.0,0.14084540974883822,0.0201207728212626,53,58,62,63,74,130,160,190,190,190,190
POST,Create Ticket,50,0,52,55.26222399959806,38.94690002198331,106.46809998434037,146.0,0.08383655342192751,0.0,53,56,57,62,67,84,110,110,110,110,110
GET,Verify Auth,50,0,160,177.78636000002734,122.75700000463985,337.5006999995094,198.0,0.08383655342192751,0.0,160,180,180,210,260,310,340,340,340,340,340
,Aggregated,218,19,57,86.47648623779762,35.80430001602508,337.5006999995094,78.89908256880734,0.36552737291960397,0.03185789030033245,57,66,130,150,170,210,260,310,340,340,340
