Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],52,7,20,47.81942692324474,14.584099990315735,1315.9338000114076,0.0,0.08698407767786753,0.01170939507202063,20,22,24,25,33,64,77,1300,1300,1300,1300
POST,Chat [Indirect],108,12,21,55.48387037008609,13.811800003168173,1588.9718999969773,0.0,0.18065923825403257,0.020073248694892507,21,24,26,30,51,76,330,1400,1600,1600,1600
POST,Create Ticket,60,0,20,44.166683332878165,17.591099996934645,1228.9336999965599,146.0,0.10036624347446253,0.0,21,23,24,25,39,59,81,1200,1200,1200,1200
GET,Verify Auth,60,0,49,87.47820333301206,33.80079999624286,1440.6408999930136,198.0,0.10036624347446253,0.0,50,57,63,71,82,94,740,1400,1400,1400,1400
,Aggregated,280,19,23,58.49129071404085,13.811800003168173,1588.9718999969773,73.71428571428571,0.4683758028808252,0.031782643766913136,23,32,39,44,63,81,740,1400,1600,1600,1600
