Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],37,1,30,42.76070541488259,13.403199962340295,140.49439993686974,0.0,0.031681202199852494,0.0008562487081041214,30,43,51,64,92,120,140,140,140,140,140
POST,Chat [Indirect],63,2,23,33.49129047008261,12.302499962970614,194.76009998470545,0.0,0.05394366861055965,0.0017124974162082429,23,30,37,46,64,73,120,190,190,190,190
POST,Create Ticket,299,0,23,29.616185624376687,14.194600051268935,508.31080006901175,146.0,0.2560183637231323,0.0,23,25,26,27,31,45,140,280,510,510,510
GET,Verify Auth,300,1,63,74.47989632530759,37.79979993123561,1075.1705000875518,197.65666666666667,0.25687461243123644,0.0008562487081041214,63,74,81,87,110,130,180,210,1100,1100,1100
,Aggregated,699,4,38,49.916031186333,12.302499962970614,1075.1705000875518,147.2832618025751,0.5985178469647808,0.0034249948324164858,38,55,64,70,89,110,140,200,1100,1100,1100
