Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Indirect],1,0,22.238500008825213,22.238500008825213,22.238500008825213,22.238500008825213,0.0,0.006574832064091872,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,Create Ticket,5,0,21,31.820199999492615,20.153599994955584,49.85149999265559,146.0,0.03287416032045936,0.0,21,47,47,50,50,50,50,50,50,50,50
GET,Verify Auth,5,0,75,93.17957999592181,47.70999999891501,197.8428000002168,198.0,0.03287416032045936,0.0,75,78,78,200,200,200,200,200,200,200,200
,Aggregated,11,0,48,58.839763635081574,20.153599994955584,197.8428000002168,156.36363636363637,0.07232315270501058,0.0,48,67,75,75,78,200,200,200,200,200,200
