Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],26,0,21,24.032469224319076,15.934499999275431,42.407400003867224,0.0,0.04389917987414105,0.0,23,26,28,30,32,38,42,42,42,42,42
POST,Chat [Indirect],39,0,28,29.695456409498522,16.702799999620765,70.92349999584258,0.0,0.06584876981121157,0.0,28,30,32,33,51,55,71,71,71,71,71
POST,Create Ticket,10,0,30,29.00563999719452,20.25070000672713,40.00310000265017,146.0,0.01688429995159271,0.0,30,30,32,33,40,40,40,40,40,40,40
GET,Verify Auth,10,0,76,86.40746000164654,61.21069999062456,153.3878000045661,198.0,0.01688429995159271,0.0,84,86,98,100,150,150,150,150,150,150,150
,Aggregated,85,0,28,34.55409411518999,15.934499999275431,153.3878000045661,40.470588235294116,0.14351654958853804,0.0,28,31,33,40,65,84,100,150,150,150,150
