Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],30,2,21,23.31298666880078,14.97390000440646,57.53530000220053,0.0,0.0504140234455327,0.003360934896368847,22,24,26,28,31,37,58,58,58,58,58
POST,Chat [Indirect],70,5,20,30.61585428534142,13.277999998535961,428.78550000023097,0.0,0.11763272137290964,0.008402337240922117,20,24,25,26,33,52,150,430,430,430,430
POST,Create Ticket,40,0,20,24.833490001037717,17.005499990773387,64.959600000293,146.0,0.06721869792737693,0.0,21,22,23,23,50,62,65,65,65,65,65
GET,Verify Auth,40,0,46,65.07624250043591,31.758500001160428,322.1267000044463,198.0,0.06721869792737693,0.0,47,57,66,68,110,210,320,320,320,320,320
,Aggregated,180,7,23,35.77160388942704,13.277999998535961,428.78550000023097,76.44444444444444,0.30248414067319623,0.011763272137290963,23,28,40,43,58,77,150,320,430,430,430
