Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Chat [Direct],54,10,59,84.78122962966424,40.347600006498396,1329.857800010359,0.0,0.09188724537203388,0.017016156550376645,59,60,62,64,81,100,190,1300,1300,1300,1300
POST,Chat [Indirect],101,9,59,83.48693267245187,41.20169999077916,788.8091999921016,0.0,0.1718631811588041,0.015314540895338982,59,61,64,69,96,190,400,750,790,790,790
POST,Create Ticket,70,0,59,58.7393599990589,46.97379999561235,87.10099998279475,146.0,0.11911309585263652,0.0,59,60,60,61,70,80,87,87,87,87,87
GET,Verify Auth,70,0,180,189.34669143013056,138.37269999203272,426.5676000213716,198.0,0.11911309585263652,0.0,180,190,190,200,220,310,360,430,430,430,430
,Aggregated,295,19,60,102.97081423716193,40.347600006498396,1329.857800010359,81.62711864406779,0.5019766182361111,0.03233069744571563,60,70,150,170,190,210,360,750,1300,1300,1300
